feature,importance
orig_text,82.1864589118276
pct_tokens_sal_gt_0_5,3.765587219161457
n_tokens,2.715205726208746
n_chars,2.40722176672213
n_words,2.359965464644634
n_tokens_sal_gt_0_5,1.6371018638660202
kw_debt_cnt,1.5285183254422372
kw_debt_has,1.0395617651182265
kw_refactor_cnt,0.6714567752855684
kw_refactor_has,0.5140704840543311
has_should,0.4547331468139963
pct_tokens_sal_gt_1_0,0.31644865804247313
pct_punct,0.18977979992193506
n_tokens_sal_gt_1_0,0.11571419526706896
pct_tokens_sal_gt_2_0,0.03749796468983006
kw_todo_cnt,0.024521027401849593
n_tokens_sal_gt_2_0,0.016135693242814293
kw_todo_has,0.011883847838259614
kw_quick_cnt,0.0013331898688497242
has_for_now,0.0012436925630715553
kw_quick_has,0.0011775181481114005
kw_hack_cnt,0.001161993914262515
kw_fixme_cnt,0.0009663354895749108
kw_workaround_cnt,0.0007751853246801518
has_later,0.0006125567154861322
kw_workaround_has,0.00038774544317031235
kw_hack_has,0.00022143434572557703
kw_temp_cnt,0.00018004546599215788
kw_fixme_has,7.766717208773862e-05
has_brackets,0.0
has_equals,0.0
has_path,0.0
has_camel_case,0.0
has_snake_case,0.0
pct_digit,0.0
pct_upper,0.0
kw_temp_has,0.0
