iter	Passed	Remaining
399	50716	710035
400	50852	710027
401	50985	709988
402	51122	710011
403	51261	710046
404	51384	709862
405	51505	709659
406	51624	709423
407	51762	709453
408	51894	709391
409	52027	709352
410	52149	709158
411	52275	709012
412	52395	708794
413	52511	708523
414	52630	708294
415	52757	708169
416	52891	708137
417	53020	708042
418	53155	708015
419	53288	707977
420	53422	707949
421	53558	707942
422	53678	707721
423	53799	707514
424	53918	707288
425	54039	707084
426	54166	706961
427	54299	706914
428	54435	706900
429	54564	706798
430	54696	706741
431	54831	706714
432	54952	706508
433	55076	706356
434	55196	706136
435	55318	705950
436	55437	705712
437	55564	705590
438	55697	705537
439	55826	705443
440	55959	705389
441	56091	705328
442	56224	705280
443	56346	705092
444	56468	704910
445	56589	704707
446	56709	704486
447	56827	704250
448	56953	704123
449	57082	704018
450	57216	703979
451	57356	704007
452	57486	703919
453	57615	703825
454	57733	703585
455	57853	703371
456	57974	703178
457	58093	702962
458	58217	702792
459	58348	702715
460	58481	702666
461	58613	702596
462	58743	702515
463	58877	702465
464	58999	702280
465	59119	702074
466	59238	701852
467	59356	701622
468	59477	701429
469	59605	701319
470	59739	701268
471	59870	701195
472	60002	701128
473	60138	701106
474	60270	701041
475	60405	701003
476	60535	700922
477	60654	700701
478	60773	700480
479	60896	700311
480	61016	700104
481	61137	699911
482	61258	699711
483	61386	699601
484	61518	699531
485	61660	699577
486	61799	699585
487	61918	699376
488	62037	699161
489	62157	698954
490	62277	698746
491	62396	698541
492	62524	698422
493	62656	698349
494	62788	698283
495	62919	698208
496	63052	698145
497	63183	698063
498	63319	698035
499	63451	697965
500	63581	697872
501	63713	697799
502	63844	697720
503	63976	697652
504	64108	697577
505	64226	697347
506	64348	697172
507	64468	696967
508	64605	696948
509	64725	696748
510	64846	696555
511	64971	696411
512	65103	696339
513	65233	696251
514	65365	696169
515	65503	696167
516	65636	696107
517	65769	696034
518	65901	695962
519	66035	695910
520	66153	695687
521	66271	695466
522	66390	695256
523	66508	695042
524	66629	694855
525	66755	694718
526	66886	694626
527	67020	694575
528	67149	694466
529	67280	694388
530	67410	694287
531	67541	694203
532	67671	694111
533	67791	693912
534	67911	693708
535	68030	693504
536	68150	693312
537	68268	693094
538	68389	692898
539	68516	692779
540	68647	692694
541	68780	692622
542	68909	692518
543	69039	692429
544	69170	692334
545	69301	692249
546	69434	692190
547	69568	692135
548	69701	692061
549	69838	692035
550	69957	691830
551	70079	691654
552	70200	691469
553	70320	691273
554	70438	691054
555	70560	690883
556	70685	690742
557	70821	690698
558	70952	690608
559	71090	690589
560	71227	690559
561	71360	690498
562	71491	690411
563	71624	690334
564	71755	690250
565	71879	690096
566	72006	689965
567	72139	689892
568	72273	689832
569	72403	689740
570	72533	689643
571	72666	689571
